Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:38:20 2018,-0.143,-0.159,-1.152,34.004,-79.407,50.339,67.906,-9.899,-41.329,2
Mon Sep 24 16:38:20 2018,-0.052,-0.818,-0.935,49.049,43.724,-18.158,65.364,-8.8,-40.629,2
Mon Sep 24 16:38:20 2018,-0.286,-0.743,-0.918,-21.378,-15.9,0.832,66.09,-11.366,-40.279,2
Mon Sep 24 16:38:20 2018,-0.254,-0.705,-0.822,-14.824,16.594,14.893,66.635,-11.549,-38.002,2
Mon Sep 24 16:38:21 2018,-0.166,0.068,-0.908,-53.345,0.732,4.944,66.272,-10.816,-38.002,2
Mon Sep 24 16:38:21 2018,-0.318,-0.612,-1.004,35.454,28.969,-15.411,66.998,-14.116,-37.301,2
Mon Sep 24 16:38:21 2018,-0.304,-0.764,-0.962,16.266,116.463,-59.471,69.177,-11.183,-33.449,1
Mon Sep 24 16:38:21 2018,-0.2,-0.531,-0.909,47.363,117.63,7.706,74.261,-2.75,-29.246,0
Mon Sep 24 16:38:22 2018,-0.293,-0.415,-0.852,34.05,-74.265,24.048,73.898,10.083,-28.545,1
Mon Sep 24 16:38:22 2018,-0.027,-0.644,-1.002,-2.258,-66.36,33.295,75.532,7.7,-38.878,1
Mon Sep 24 16:38:22 2018,-0.25,-0.685,-0.982,-0.145,-1.183,9.018,70.993,6.05,-41.154,0
Mon Sep 24 16:38:22 2018,0.068,-0.091,-0.958,43.526,-46.967,9.689,66.998,5.316,-46.058,0
Mon Sep 24 16:38:23 2018,-0.179,-0.766,-1.105,-38.025,-1.175,44.327,64.275,4.766,-48.334,0
Mon Sep 24 16:38:23 2018,-0.108,-0.296,-0.945,37.239,53.36,36.85,60.825,7.516,-48.86,0
Mon Sep 24 16:38:23 2018,-0.432,-0.418,-0.903,20.546,-33.44,-24.078,57.92,9.35,-49.21,1
Mon Sep 24 16:38:23 2018,-0.274,-0.442,-0.935,37.865,77.248,-32.402,53.925,8.616,-49.21,1
Mon Sep 24 16:38:24 2018,-0.221,-0.678,-1.057,-30.006,7.675,30.083,49.568,10.449,-45.007,1
Mon Sep 24 16:38:24 2018,-0.268,-0.428,-0.979,-8.507,-33.173,70.442,49.386,12.833,-43.781,2
Mon Sep 24 16:38:24 2018,-0.34,-0.456,-0.753,0.069,4.333,17.525,48.66,17.232,-41.68,1
Mon Sep 24 16:38:24 2018,-0.098,-0.485,-1.026,14.008,-31.837,23.682,48.115,19.616,-41.855,1
Mon Sep 24 16:38:25 2018,-0.223,-0.373,-0.988,55.252,-85.396,96.535,43.394,23.649,-45.007,1
Mon Sep 24 16:38:25 2018,-0.171,-0.551,-0.918,-34.424,-46.104,28.229,41.579,26.215,-47.108,2
Mon Sep 24 16:38:25 2018,-0.212,-0.557,-0.944,32.104,27.39,21.08,39.4,25.849,-47.809,1
Mon Sep 24 16:38:25 2018,-0.275,-0.483,-0.916,40.741,48.5,18.074,34.498,27.865,-48.334,1
Mon Sep 24 16:38:26 2018,-0.273,-0.692,-0.957,30.029,-37.88,35.194,31.593,26.399,-50.085,1
Mon Sep 24 16:38:26 2018,-0.228,-0.266,-0.903,-29.938,28.862,3.036,31.774,26.949,-50.611,2
